nome,preco
pimentão amarelo,16.566666666666666
pimentão verde,13.200000000000001
pimentão vermelho,16.566666666666666
pinhão,9.97
salada colorida,46.35714285714286
salada de frutas,13.311111111111112
salada levíssima com acompanhamentos,44.333333333333336
salada mix verde com acompanhamentos- 120g,58.25000000000001
salsão,12.450000000000001
sálvia,99.75
tomate,14.96
tomilho,99.75
vinagrete,21.85
brócolis,16.566666666666666
coração alface americana,26.6
coração alface americana,17.633333333333333
couve-flor,19.933333333333337
limão,9.96
maçã fuji,12.94
maçã verde,14.98
maçã gala,11.98
mamão papaya,13.3
pera,13.9
pimentão colorido,12.98
repolho roxo,14.966666666666669
repolho verde,13.3
tomate,7.96
tomate cereja,18.400000000000002
tomate cereja,12.475000000000001
tomate pomodoro,9.94
vagem,13.266666666666667
coentro hidropônico,29.900000000000002
abóbora cubos,9.96
cenoura baby,41.96
cenoura ralada,16.45
coco seco descascado e cortado,24.950000000000003
couve manteiga fatiada,33.2
mix para sopa,15.566666666666666
mix salsa e cebolinha,69.80000000000001
repolho roxo fatiado,19.35
repolho verde fatiado,14.8
salada colorida,38.6
salada de frutas,19.85
salada italiana,21.16
salada mistinha,32.599999999999994
selecta de legumes,13.233333333333334
abobrinha verde,7.98
acelga,14.966666666666669
morango,27.96
salada mix verde,23.96
uva crimson,17.94
uva thompson,17.94
yakissoba,24.6
yakissoba,11.65
